Area,Society,OWC_Code,Subsistence,Year of observation,Location,Location(type),Age of learner,Age group of learner,Number of learner,Age of model,Age group of model,Number of model,Transmission modes,Social relationship,Transmission bias,Learning process,Time spent,Perceived difficulty,Technology,Raw material,Access to raw material,Access to technology,Note,Reference
Arctic and Subarctic,Alutiq,NA10,Hunter-gatherers,1931-1936,NA,NA,NA,NA,NA,NA,Adult,NA,NA,NA,NA,taught,NA,NA,"sew, make designs, embroider bags, braid cords, weave hats, mats; make containers or buckets",NA,NA,restricted to women,gendered skills,"Hrdlicka, 1975: 79"
Arctic and Subarctic,Chipewyans,ND07,Hunter-gatherers,1975-1976,NA,NA,15,adolescence,1,71,Adult,2,Vertical,"Adopted-father, Adopted-mother",Kin-based,Observation and some advice,NA,NA,snowshoe making,NA,NA,NA,The learner's adopted mother is not the model but gave advice,"Irimoto, 1981: 143"
Arctic and Subarctic,Chipewyans,ND07,Hunter-gatherers,1971-1979,trapline,outdoor field,NA,NA,NA,NA,Adult,1 or more,Vertical/Oblique,"father-son, brothers",Kin-based,Apprenticeship,NA,NA,trap making,NA,NA,NA,Wife as assistant is allowed by rare,"Jarvenpa, 1980: 146-147"
Arctic and Subarctic,Kaska,ND12,Hunter-gatherers,1943-1945,NA,NA,8,middle childhood,NA,Adult and older brothers,Adult,1 or more,Vertical/Oblique,"father-son, brothers",Kin-based,Observation and assistance,NA,NA,"manufacture implements, vehicles, buildings, and tools",NA,NA,restricted to men?,girls learn things earlier than boys.,"Honigmann and Bennett, 1949: 185-186"
Arctic and Subarctic,Kaska,ND12,Hunter-gatherers,"1912, 1915",lodge,indoor,puberty/isolation,middle childhood,NA,NA,Adult,1 or more,Vertical/Oblique,"Mother-daughter, other female relatives and neighbors",Kin-based,instruction,NA,NA,"sewing and embroidery, to make moccasins, do netting, fill snowshoes",NA,NA,restricted to women,men are not allowed to approach to girls at this stage,"Teit and Helm, 1956: 115-119"
Arctic and Subarctic,Ojibwa,NG06,Hunter-gatherers,1938,NA,NA,after puberty rites,NA,NA,NA,Adult,1 or more,Vertical/Oblique,"father-son, other older men",Kin-based,helping,NA,NA,bow and arrows,NA,NA,restrcited to men,gendered skills,"Hilger, 1939: 101-102"
Arctic and Subarctic,Ojibwa,NG06,Hunter-gatherers,1938,NA,NA,after puberty rites,NA,NA,NA,Adult,1,Vertical,mother-daughter,Kin-based,"teaching, making minature",NA,NA,"making wigwams, mats, and birch-bark vessels and beadwork",NA,NA,restricted to women,gendered skills,"Hilger, 1939: 101-102; Densmore, 1929: 60-61"
Eastern Woodlands,Natchez,NO08,Other subsistence combinations,NA,NA,NA,12,middle childhood,NA,NA,NA,NA,NA,mother-daughter,Kin-based,NA,NA,NA,pottery making,clay,NA,restricted to women,NA,"Lorentz, 2020: 10"
Eastern Woodlands,Natchez,NO08,Other subsistence combinations,NA,NA,NA,12,middle childhood,NA,NA,NA,NA,NA,father-son,Kin-based,NA,NA,NA,tools and weapons,NA,NA,restricted to men,NA,"Lorentz, 2020: 10"
Northwest Coast and California,Nuu-Chah-Nulth,NE11,Hunter-gatherers,1972-1974,library,indoor,children,NA,NA,NA,NA,NA,Vertical/Oblique,"father-son, uncle-nephew",Kin-based,Observation,NA,NA,woodcarving,wood,NA,NA,they learned their techniques as children but went to libraries to improve their understanding of arts,"Kenyon, 1980: 82"
Northwest Coast and California,Quinault,NR17,Hunter-gatherers,NA,house,indoor,NA,NA,NA,Adults and older children,Adult,1 or more,Vertical/Oblique,many adults and older children,Kin-based,NA,NA,NA,"basket weaving, tool making, blanket weaving, carving",NA,NA,NA,The average house had from two to six or more related families and their slaves as permanent residents. ,"Storm and Capoeman, 1990: 54"
Northwest Coast and California,Tillamook,NR21,Hunter-gatherers,"1956-1958, 1970",NA,NA,second critical period/an early age,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Model canoes, small bows and arrows, miniature war clubs of whale bone, and diminutive fish spears",NA,NA,restricted to men,boys' training emphasize courage,"Sauter and Johnson, 1974: 32-34"
Northwest Coast and California,Tillamook,NR21,Hunter-gatherers,"1956-1958, 1970",NA,NA,second critical period/an early age,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mammal bone tools, basket weaving",NA,NA,restricted to women,girls' training emphasize perseverance,"Sauter and Johnson, 1974: 32-34; Skoggard, 2022: 4"
Plains and Plateau,Assiniboine,NF04,Hunter-gatherers,1850s,NA,NA,infancy,infancy,1,NA,Adult,1,Vertical,mother-daughter,Kin-based,demonstration,NA,NA,making small moccasins,NA,NA,restricted to women,NA,"Denig and Hewitt, 1930: 520"
Plains and Plateau,Blackfoot,NF06,Hunter-gatherers,1941-1944,NA,NA,Girls or young women,NA,NA,Older women,Adult,NA,Vertical/Oblique,Older women-young women/girls,NA,teaching,NA,NA,quillwork,NA,NA,restricted to women,Quillwork is perceived as a scacred craft by local people,"Ewers,1945: 29"
Plains and Plateau,Blackfoot,NF06,Hunter-gatherers,1941-1951,NA,NA,NA,NA,NA,NA,Adult,2,Vertical,"father-son, mother-daughter",Kin-based,NA,NA,NA,pipe making,stone,NA,NA,The learner absorbed different knowledge from different models and make her innovations,"Ewers, 1963: 49"
Southwest and Basin,Hopi,NT09,Intensive agriculturalist,1937-1938,NA,NA,Girls,NA,NA,NA,NA,NA,NA,NA,NA,play,NA,NA,pottery making,clay,NA,NA,NA,"Dennis, 1940: 50"
Southwest and Basin,Navajo,NT13,Agro-pastoralists,1938,workshop,indoor,NA,NA,NA,NA,Adult,1,Vertical/Oblique,relatives,Kin-based,Apprenticeship/observation,2 years or longer,NA,silversmith,silver,Difficult,no gender restriction,"In rare cases, it is possible to learn it from non-relative (2 out of 52)","Adair, 1944: 89-91"
Southwest and Basin,Navajo,NT13,Agro-pastoralists,1963-1998,NA,NA,Boys,NA,NA,NA,NA,NA,NA,NA,NA,teaching,NA,NA,moccasin makin,NA,NA,NA,NA,"Bailey, 1942: 232"
Southwest and Basin,Navajo,NT13,Agro-pastoralists,1963-1998,NA,NA,Girls,NA,NA,NA,Adult,NA,Vertical/Oblique,"mother-daughter, aunt-niece grandmother-granddaughter",Kin-based,teaching and imitation,NA,NA,weaving,NA,NA,NA,"Respecting loom is part of the skill; every women know how to weave, but only a few of them know how to make fine rugs","Mitchell, 2001: 204; Bailey, 1942: 232; Shepardson and Hammond, 1970: 105-106"
Southwest and Basin,Tewa Pueblos,NT18,Intensive agriculturalist,1970-1972,NA,NA,NA,NA,NA,grandmother,Adult,1,Vertical/Oblique,"mother-daughter, grandmother-granddaughter",Kin-based,teaching,NA,NA,pottery making,clay,NA,no gender restrictions,NA,"Jacobs, 1995: 73"
Australia,Aranda,OI08,Hunter-gatherers,NA,NA,NA,Boys early in life,NA,NA,NA,NA,NA,NA,NA,NA,schooled,NA,NA,carpentary (domestic utensils and weapons),wood,NA,restricted to men?,NA,"Basedow, 1925: 85-86"
Melanesia,Kapauku,OJ29,Intensive agriculturalist,1954-1955,NA,NA,7,early childhood,NA,NA,Adult,NA,Vertical,father-daughter,Kin-based,teaching,NA,NA,"Making bows and arrows, rolling string on the thigh, making nets, roasting gourds for penis sheaths, polishing stone axes and stone knives, and chipping flint by percussion",NA,NA,NA,"Before this age, they were raised in a mixed-gendered context","Pospisil, 1958: 40-41"
Melanesia,Kapauku,OJ29,Intensive agriculturalist,1954-1955,NA,NA,15,adolescence,NA,NA,Adult,NA,Vertical/horizontal,father-daughter,Kin-based,teaching,NA,NA,canoe making,NA,NA,NA,The hunting skill is learnt through a combination of teaching and group practice with adolescence ganster,"Pospisil, 1958: 40-41"
Melanesia,Kwoma,OJ13,Other subsistence combinations,1936-1937,NA,NA,children-boy,NA,NA,NA,Adult,NA,Vertical,Parents-children,Kin-based,imitation and help,NA,NA,various utensils,NA,NA,NA,Boys help by fetching raw materials,"Whiting, 1941: 47-48"
Melanesia,Kwoma,OJ13,Other subsistence combinations,1936-1937,NA,NA,Girl before adolescence,NA,NA,NA,Adult,NA,Vertical,Parents-children,Kin-based,imitation,NA,NA,bag netting,NA,NA,NA,NA,"Whiting, 1941: 47-48"
Melanesia,Trobriands,OL06,Other subsistence combinations,"1973-1974, 1976",The veranda of the carver's hut,indoor,child after initation,NA,>1,NA,Adult,1,Oblique,Unrelated individuals,Success-based,apprenticeship,15-20 years,NA,carving,wood,NA,NA,Master plays favorisim,"Scoditti, 1989: 46-48"
Micronesia,Kiribati,OR06,Primarily hunter-gatherers,1963-1964,NA,NA,NA,NA,NA,NA,NA,NA,Vertical/horizontal,parents or close friends,Kin-based/familiarity-based,NA,NA,NA,trap making,plant,NA,family secret,NA,"Koch, 1986: 25-26"
Micronesia,Marshallese,OR11,Other subsistence combinations,1976-1983,NA,NA,girl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mat weaving and shaping other prized female goods,NA,NA,restricted to women?,NA,"Carucci, 1987: 2-3"
Micronesia,Marshallese,OR11,Other subsistence combinations,1976-1983,NA,NA,young boy,NA,>1,NA,Adult,1,Vertical/Oblique,NA,NA,apprenticeship,NA,NA,canoe making,NA,NA,restricted to men?,NA,"Carucci, 1987: 2-3"
Polynesia,Maori,OZ04,Primarily hunter-gatherers,Ca. 1920,NA,NA,girls after initiation,NA,NA,NA,NA,NA,Vertical/Oblique,Female relatives,NA,teaching,NA,NA,weaving and basket plaiting,NA,NA,restricted to women?,Many more traditional knowledge are taught in initation school for boys; Weaving has ritual importance,"Firth, 1959: 189-190; Buck, 1952: 361-362"
Polynesia,Maori,OZ04,Primarily hunter-gatherers,Ca. 1910-1945,NA,NA,boys after initation,NA,NA,NA,Adult,1,Oblique,Unrelated individuals,Success-based,apprenticeship,NA,NA,carving,wood,NA,restricted to men?,The arrangements were usually made by the elders but sometimes the keen desire of a boy was recognized by a craftsman,"Buck, 1952: 361-362"
Polynesia,Maori,OZ04,Primarily hunter-gatherers,Ca. 1920,NA,NA,youngster,NA,NA,NA,Adult,NA,Vertical/Oblique,NA,NA,helping,NA,NA,greenstone sawing,stone,NA,NA,"youngsters were often enlisted to feed sandgrit and water to the cut, while the men sawed with their flint blades","Firth, 1959: 212"
Amazon and Orinoco,Ndyuka,SR14,Horticulturalist,1948-1958,NA,NA,boys,NA,NA,NA,NA,NA,NA,NA,NA,apprenticeship,several years,NA,boat making,wood,NA,restricted to men?,gendered skills.,"Hurault and Winchell, 1961: 192"
Amazon and Orinoco,Pume,SS19,Other subsistence combinations,1933-1934,NA,NA,toddler,infancy,NA,NA,Adult,NA,Vertical,father-son,Kin-based,accompanying father,NA,NA,bow and arrows,NA,NA,restricted to men,hunting here mainly means crocodile hunting,"Petrullo, 1939: 202"
Amazon and Orinoco,Shipibo,SE26,Horticulturalist,Ca. 1930s-1974,boy,NA,NA,NA,NA,NA,Adult,1 or more,Vertical/Oblique,"father-son, grandfather-grandson",Kin-based,instruction and helping,NA,NA,"canoe making, bow and arrows, house making",NA,NA,restricted to men?,gendered skills,"Eakin, Lauriault, and Boonstra, 1986: 51"
Amazon and Orinoco,Shipibo,SE26,Horticulturalist,Ca. 1930s-1974,girl,NA,NA,NA,NA,NA,Adult,1,Vertical,mother-daughter,Kin-based,"informal observation and imitation, working alongside",NA,NA,string beads and make pottery,NA,NA,restricted to women?,gendered skills,"Eakin, Lauriault, and Boonstra, 1986: 51"
Amazon and Orinoco,Warao,SS18,Hunter-gatherers,1954-1969,within the confines of the village,outdoor settlement,3/pre-puberty boys,infancy,>1,NA,Adult,1,Vertical/Oblique,father-son,Success-based/Kin-based,observation only,several weeks,NA,canoe making,wood,NA,restricted to men,two stages,"Wilbert, 1976: 323, 350"
Amazon and Orinoco,Warao,SS18,Hunter-gatherers,1954-1969,within the confines of the village,outdoor settlement,adolescence/13,adolescence,1,NA,Adult,1,Vertical,father-son,Kin-based,correction and instruction,5 years + 6/7 years,NA,canoe making,wood,NA,restricted to men,correction is much more frequent than teaching; 5 years for create one's own canoe and 6 and 7 years more marks the end of training.,"Wilbert, 1976: 323, 350"
Eastern South America,Tapirapé,SP22,Other subsistence combinations,"1939-1940, 1953, 1957, 1965",NA,NA,boy,NA,NA,NA,Adult,NA,Vertical/Oblique,NA,NA,observation only,NA,NA,"basket weaving, making bow and straight arrows, spirit mask making",NA,NA,NA,NA,"Wagley, 1977: 150"
Northwestern South America,Goajiro,SC13,Pastoralist,NA,NA,NA,girl during seclusion,NA,1,NA,Adult,NA,Vertical/Oblique,mother or female caretaker (e.g. aunt),Kin-based,instruction,1-5 years,NA,weaving,NA,NA,restricted to women,The time of seclusion is not explicitly described in the paper; boys receive instruction on economic skill from uncles,"Watson-Franke and Watson, 1986: 146-147; Watson, 1967: 8"
Southern South America,Tehuelche,SH05,Hunter-gatherers,NA,NA,NA,children,NA,NA,NA,NA,NA,Vertical/Oblique,parents and other band members,Kin-based,NA,NA,NA,weaving and toolmaking,NA,NA,NA,children are seldom corrected by parents,"Adem, 2009: 3"
Southern South America,Yahgan,SH06,Hunter-gatherers,1918-1924,NA,NA,children,NA,NA,NA,Adult,1,Vertical,mother-daughter,Kin-based,little instruction,NA,NA,basket-making,NA,NA,restricted to women?,Other adults may also contribute?,"Gusinde and Schütze, 1937: 563"
