pref_name_for_society,HRAF_name_ID,glottocode,latitude,longitude,X,market,urban,popdens,fixity,tech,writing
Miskito,Miskito (SA15),misk1235,15.16,-84.29,Present,Supra-Regional,200-399 persons,5.1-25 persons/ sq. mile,Sedentary,Pottery or Loom,None
Callinago,Island Carib (ST13),isla1278,15.41,-61.27,Present,NA,200-399 persons,5.1-25 persons/ sq. mile,Sedentary; impermanent,Pottery or Loom,Mnemonic devices
Wayuu,Goajiro (SC13),wayu1243,11.92,-71.75,Absent,Supra-Regional,< 100 persons,< 1 person / sq. mile,Nomadic,Pottery or Loom,Mnemonic devices
Haitians,Haitians (SV03),hait1244,18.83,-72.17,Present,Supra-Regional,1000+ persons,100 persons / sq. mile,Sedentary,Metallurgy,True writing
Warao,Warao (SS18),wara1303,9.08,-62,Present,NA,< 100 persons,< 1 person / sq. mile,Seminomadic,Pottery or Loom,Mnemonic devices
Barama River Carib,Barama River Carib (SR09),mura1272,7.42,-60.17,Absent,NA,< 100 persons,< 1 person / sq. mile,Sedentary; impermanent,Pottery or Loom,Mnemonic devices
Saramaccan,Saramaka (SR15),sara1340,3.5,-55.75,Absent,Supra-Regional,100-199 persons,5.1-25 persons/ sq. mile,Sedentary,Pottery or Loom,Nonwritten records
Munduruku,Mundurucu (SQ13),mund1330,-6.5,-56.5,Absent,Local,100-199 persons,< 1 person / sq. mile,Sedentary,Pottery or Loom,None
Yanomami,Yanoama (SQ18),yano1261,2.42,-65,Absent,Supra-Regional,100-199 persons,< 1 person / sq. mile,Sedentary; impermanent,None,None
Sirionó,Siriono (SF21),siri1273,-14.5,-63.5,Absent,Local,< 100 persons,< 1 person / sq. mile,Seminomadic,Pottery or Loom,None
Shuar,Jivaro (SD09),shua1257,-3,-78,Present,Supra-Regional,< 100 persons,< 1 person / sq. mile,Sedentary; impermanent,Pottery or Loom,None
Cubeo,Tukano (SQ19),cube1242,1.25,-70.5,Present,Supra-Regional,< 100 persons,< 1 person / sq. mile,Sedentary,Pottery or Loom,None
Amahuaca,Amahuaca (SE06),amah1246,-10.33,-72.25,Present,NA,< 100 persons,< 1 person / sq. mile,Sedentary; impermanent,Pottery or Loom,None
