Area,Society,OWC_Code,Subsistence,Year of observation,Location,Location(type),Age of learner,Age group of learner,Number of learner,Age of model,Age group of model,Number of model,Transmission modes,Transmission modes1,Social relationship,Transmission bias,Transmission bias1,Learning process,Learning process(type),Time spent,Perceived difficulty,Technology,Raw material,Function,Access to raw material,Genderedness,Confidence level of generedness judgement,Note,Reference
Southern Africa,Ovimbundu,FP13,Horticulturalists,1929-1930,NA,NA,boys at an early age,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,play,Interactive,NA,NA,rope making,Plant fiber,Utilitarian,NA,M,Low,NA,"Hambly, 1934: 167; McCulloch, 1952: 43"
Southern Africa,Ovimbundu,FP13,Horticulturalists,1929-1930,NA,NA,girls at an early age,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,play,Interactive,NA,NA,pottery making,Clay,Utilitarian,NA,F,Low,NA,"Hambly, 1934: 167; McCulloch, 1952: 43"
Southern Africa,Ovimbundu,FP13,Horticulturalists,1929-1930,NA,NA,girls at an early age,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,play,Interactive,NA,NA,basketery,Plant fiber,Utilitarian,NA,F,Low,NA,"Hambly, 1934: 167; McCulloch, 1952: 43"
Southern Africa,Ovimbundu,FP13,Horticulturalists,1924-1940,NA,NA,boys before 8 or 9,middle childhood,NA,Elder sibling or cousin,NA,NA,Horizontal/Oblique,Horizontal/Oblique,Elder sibling or cousin,Kin-based,Kin-based,tutoring,Interactive,NA,NA,trap and snare making,NA,Utilitarian,NA,M,Low,NA,"Childs, 1949: 104"
Southern Africa,San,FX10,Hunter-gatherers,1958-1964,NA,NA,boys in early childhood,infancy and early childhood,>1,Elder,Adulthood,1,Oblique,Oblique,Elder,Prestige-based,Prestige-based,answering question and instruction,Interactive,NA,NA,making bows,NA,Utilitarian,NA,M,Low,The learning is multi-staged,"Silberbauer, 1965: 79-81"
Southern Africa,San,FX10,Hunter-gatherers,1958-1964,NA,NA,"boy after ""small child"" but before puberty",middle childhood,NA,NA,Adulthood or adolescence,>1,Vertical/Oblique,Vertical/Oblique,"father and older brothers, father-in-laws",Kin-based,Kin-based,"helping, instruction",Interactive,NA,NA,the manufacture of weapons and implements,NA,Utilitarian,NA,M,Low,girls start to take their social responsibilites earlier than boys; protracted learning process,"Silberbauer, 1965: 79-81; Silberbauer, 1972: 315-316"
Southern Africa,Shona,FS05,Agro-pastoralists,1965-1971,NA,NA,boys in puberty,middle childhood,NA,NA,NA,NA,NA,NA,NA,Kin-based,Kin-based,instruction,Interactive,NA,NA,the manufacture of weapons and implements,NA,Utilitarian,NA,M,Low,NA,"Aschwanden and Cooper, 1982: 75-76"
Southern Africa,Shona,FS05,Agro-pastoralists,1972-1977,NA,NA,girls at an early age,NA,NA,NA,Adulthood,2,Vertical/Oblique,Vertical/Oblique,"mother, grandmother",Kin-based,Kin-based,"individual learning, correcting error, teaching",Interactive,NA,NA,pottery making,Clay,Utilitarian,NA,F,High,"Both sexes are taught agricultural pursuits, such as hoeing, planting, reaping","Gelfand, 1979: 221, 35-36; Bullock, 1950: 42"
Southern Africa,Shona,FS05,Agro-pastoralists,1972-1977,NA,NA,boys,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hoes making,Composite,Utilitarian,NA,M,Low,"Both sexes are taught agricultural pursuits, such as hoeing, planting, reaping","Gelfand, 1979: 221"
Southern Africa,Shona,FS05,Agro-pastoralists,1972-1977,NA,NA,boys,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pestles making,stone,Utilitarian,NA,M,Low,"Both sexes are taught agricultural pursuits, such as hoeing, planting, reaping","Gelfand, 1979: 221"
